from,to,source
1108,1820-01-01,"TH OC-90"
284,1820-01-01,"TH OC-90"
332,1820-01-01,"TH OC-90"
408,1820-01-02,"TH OC-90"
729,1820-01-02,"TH OC-90"
1559,1820-01-03,"TH OC-90"
822,1820-01-03,"TH OC-90"
976,1820-01-03,"TH OC-90"
1878,1820-01-04,"TH OC-90"
964,1820-01-04,"TH OC-90"
1383,1820-01-05,"TH OC-90"
1294,1820-01-05,"TH OC-90"
1559,1820-01-06,"TH OC-90"
1713,1820-01-06,"TH OC-90"
225,1820-01-06,"TH OC-90"
544,1820-01-07,"TH OC-90"
673,1820-01-07,"TH OC-90"
1559,1820-01-08,"TH OC-90"
762,1820-01-08,"TH OC-90"
1559,1820-01-09,"TH OC-90"
822,1820-01-09,"TH OC-90"
29,1820-01-09,"TH OC-90"
1403,1820-01-10,"TH OC-90"
1213,1820-01-10,"TH OC-90"
1280,1820-01-10,"TH OC-90"
1559,1820-01-11,"TH OC-90"
1864,1820-01-11,"TH OC-90"
16,1820-01-11,"TH OC-90"
1081,1820-01-12,"TH OC-90"
1639,1820-01-12,"TH OC-90"
965,1820-01-12,"TH OC-90"
1550,1820-01-13,"TH OC-90"
1713,1820-01-13,"TH OC-90"
822,1820-01-13,"TH OC-90"
1108,1820-01-14,"TH OC-90"
1777,1820-01-14,"TH OC-90"
936,1820-01-14,"TH OC-90"
762,1820-01-15,"TH OC-90"
968,1820-01-15,"TH OC-90"
517,1820-01-16,"TH OC-90"
976,1820-01-16,"TH OC-90"
990,1820-01-17,"TH OC-90"
640,1820-01-17,"TH OC-90"
1596,1820-01-18,"TH OC-90"
965,1820-01-18,"TH OC-90"
1403,1820-01-19,"TH OC-90"
360,1820-01-19,"TH OC-90"
640,1820-01-19,"TH OC-90"
1795,1820-01-20,"TH OC-90"
29,1820-01-20,"TH OC-90"
762,1820-01-22,"TH OC-90"
640,1820-01-22,"TH OC-90"
1878,1820-01-23,"TH OC-90"
544,1820-01-23,"TH OC-90"
1383,1820-01-24,"TH OC-90"
1294,1820-01-24,"TH OC-90"
1559,1820-01-25,"TH OC-90"
1527,1820-01-25,"TH OC-90"
543,1820-01-25,"TH OC-90"
1403,1820-01-26,"TH OC-90"
1280,1820-01-26,"TH OC-90"
965,1820-01-26,"TH OC-90"
219,1820-01-27,"TH OC-90"
61,1820-01-27,"TH OC-90"
1550,1820-01-28,"TH OC-90"
968,1820-01-28,"TH OC-90"
1470,1820-01-29,"TH OC-90"
219,1820-01-29,"TH OC-90"
1383,1820-01-30,"TH OC-90"
640,1820-01-30,"TH OC-90"
225,1820-01-31,"TH OC-90"
219,1820-01-31,"TH OC-90"
573,1820-02-01,"TH OC-90"
897,1820-02-01,"TH OC-90"
360,1820-02-02,"TH OC-90"
990,1820-02-02,"TH OC-90"
543,1820-02-03,"TH OC-90"
219,1820-02-03,"TH OC-90"
1403,1820-02-04,"TH OC-90"
1559,1820-02-04,"TH OC-90"
1639,1820-02-04,"TH OC-90"
1724,1820-02-05,"TH OC-90"
219,1820-02-05,"TH OC-90"
332,1820-02-06,"TH OC-90"
157,1820-02-06,"TH OC-90"
897,1820-02-07,"TH OC-90"
964,1820-02-07,"TH OC-90"
219,1820-02-08,"TH OC-90"
153,1820-02-08,"TH OC-90"
543,1820-02-09,"TH OC-90"
1383,1820-02-09,"TH OC-90"
1108,1820-02-10,"TH OC-90"
219,1820-02-10,"TH OC-90"
1208,1820-02-11,"TH OC-90"
1724,1820-02-11,"TH OC-90"
153,1820-02-11,"TH OC-90"
219,1820-02-12,"TH OC-90"
640,1820-02-12,"TH OC-90"
1639,1820-02-13,"TH OC-90"
990,1820-02-13,"TH OC-90"
1452,1820-02-14,"TH OC-90"
219,1820-02-14,"TH OC-90"
225,1820-02-23,"TH OC-90"
965,1820-02-23,"TH OC-90"
640,1820-02-23,"TH OC-90"
729,1820-02-24,"TH OC-90"
157,1820-02-24,"TH OC-90"
1000,1820-02-25,"TH OC-90"
762,1820-02-25,"TH OC-90"
1639,1820-02-26,"TH OC-90"
876,1820-02-26,"TH OC-90"
153,1820-02-26,"TH OC-90"
1596,1820-02-27,"TH OC-90"
408,1820-02-27,"TH OC-90"
1403,1820-02-28,"TH OC-90"
1280,1820-02-28,"TH OC-90"
1310,1820-02-28,"TH OC-90"
219,1820-02-29,"TH OC-90"
640,1820-02-29,"TH OC-90"
360,1820-03-01,"TH OC-90"
990,1820-03-01,"TH OC-90"
1527,1820-03-02,"TH OC-90"
631,1820-03-02,"TH OC-90"
16,1820-03-02,"TH OC-90"
1383,1820-03-03,"TH OC-90"
1639,1820-03-03,"TH OC-90"
762,1820-03-04,"TH OC-90"
219,1820-03-04,"TH OC-90"
1452,1820-03-05,"TH OC-90"
29,1820-03-05,"TH OC-90"
1550,1820-03-06,"TH OC-90"
219,1820-03-06,"TH OC-90"
976,1820-03-07,"TH OC-90"
694,1820-03-07,"TH OC-90"
1108,1820-03-08,"TH OC-90"
1208,1820-03-08,"TH OC-90"
1055,1820-03-08,"TH OC-90"
219,1820-03-09,"TH OC-90"
964,1820-03-09,"TH OC-90"
1470,1820-03-10,"TH OC-90"
694,1820-03-10,"TH OC-90"
543,1820-03-11,"TH OC-90"
219,1820-03-11,"TH OC-90"
762,1820-03-12,"TH OC-90"
157,1820-03-12,"TH OC-90"
573,1820-03-13,"TH OC-90"
968,1820-03-13,"TH OC-90"
1208,1820-03-15,"TH OC-90"
219,1820-03-15,"TH OC-90"
1452,1820-03-16,"TH OC-90"
157,1820-03-16,"TH OC-90"
219,1820-03-17,"TH OC-90"
640,1820-03-17,"TH OC-90"
1383,1820-03-18,"TH OC-90"
225,1820-03-18,"TH OC-90"
1550,1820-03-19,"TH OC-90"
219,1820-03-19,"TH OC-90"
822,1820-03-20,"TH OC-90"
29,1820-03-20,"TH OC-90"
1208,1820-03-21,"TH OC-90"
1470,1820-03-21,"TH OC-90"
965,1820-03-21,"TH OC-90"
284,1820-03-22,"TH OC-90"
219,1820-03-22,"TH OC-90"
219,1820-03-23,"TH OC-90"
16,1820-03-23,"TH OC-90"
1403,1820-03-24,"TH OC-90"
1639,1820-03-24,"TH OC-90"
153,1820-03-24,"TH OC-90"
543,1820-03-25,"TH OC-90"
219,1820-03-25,"TH OC-90"
1403,1820-03-26,"TH OC-90"
1108,1820-03-26,"TH OC-90"
1280,1820-03-26,"TH OC-90"
1081,1820-04-03,"TH OC-90"
1639,1820-04-03,"TH OC-90"
640,1820-04-03,"TH OC-90"
1527,1820-04-04,"TH OC-90"
284,1820-04-04,"TH OC-90"
976,1820-04-04,"TH OC-90"
1208,1820-04-05,"TH OC-90"
